date,tobs,tmax,tmin,tavg,precip_accum,swe,solar_ins,solar_short,flow,albedo,snowcover,cloudcover
3/31/2000,-8,-4.4,-10,-7.3,31.8,35.5,363.9321594,265.1695557,21.12,0.48315,84.753,1.374570447
4/1/2000,-5.9,-0.9,-8.5,-5.4,31.8,35.8,366.497345,245.1609039,23.32,0.486865,0,97.59450172
4/2/2000,-2.1,2.8,-6.8,-2.4,31.8,35.9,369.0504456,199.2941132,23.8,0.49058,82.634,1.374570447
4/3/2000,-0.7,4.3,-3.6,-0.2,31.9,35.8,371.5624084,255.1949768,24.64,0.3991,76.314,1.374570447
4/4/2000,4.7,7.3,-3,2.3,32.1,35.9,374.0707092,266.5685425,28.07,0.46756,76.681,11.6838488
4/5/2000,5.8,12.1,4.1,8.2,32.2,36.1,376.5589905,241.904953,32.36,0.465995,75.9865,100
4/6/2000,3.6,8.6,2,5.4,32.2,36.3,379.0294495,221.1638031,37.04,0.46443,75.292,0
4/7/2000,-1.3,7.3,-1.8,3.6,32.2,36.2,381.4238281,268.2880249,40.2,0.37798,76.491,0
4/8/2000,0.7,5.8,-4.3,0.7,32.2,36.1,383.7521667,267.8995667,43.46,0.38868,79.7715,100
4/9/2000,5.9,12.7,-0.9,6.1,32.2,36.1,386.0664063,236.3460693,44.9,0.39938,83.052,67.01030928
4/10/2000,-0.3,6,-1.6,2.5,32.2,35.9,388.368866,251.3387451,45.55,0.34305,76.746,4.12371134
4/11/2000,0.5,6.9,-3.3,1.6,32.2,35.7,390.6300049,271.2854309,52.97,0.39568,34.526,67.35395189
4/12/2000,1.2,8.9,-0.2,3.9,32.2,35.2,393.1085205,259.230835,57.28,0.427294,24.21166667,100
4/13/2000,6.9,12.8,0.6,6.5,32.4,34.7,395.7809753,228.5052185,58.64,0.458908,13.89733333,93.81443299
4/14/2000,1.1,12,0.5,6.6,32.5,34.5,398.3881531,147.9282532,60.15,0.490522,3.583,91.75257732
4/15/2000,-3.1,6.4,-3.1,-0.8,33.6,35.6,400.9252625,183.8363953,57.36,0.522136,26.7915,100
4/16/2000,-1.3,3.8,-3.6,-1,33.9,35.9,403.4654541,183.7207489,46.79,0.55375,50,94.50171821
4/17/2000,2.4,4.9,-0.6,2.1,33.9,36,405.9657288,196.4977264,51.98,0.541858571,36.47633333,100
4/18/2000,5,11.4,2,5.4,33.9,36.2,408.447052,230.282608,53.68,0.529967143,22.95266667,99.31271478
4/19/2000,-5,4.5,-5,-1.6,34.3,36.8,410.8954773,230.4316864,44.4,0.518075714,9.429,97.59450172
4/20/2000,-1.8,3.3,-5.4,-2.2,34.4,37,413.2779541,263.7017822,47.51,0.506184286,6.832333333,100
4/21/2000,3.9,11.5,-3.2,4.5,34.4,37.1,415.5563965,222.0794983,47.63,0.494292857,4.235666667,100
4/22/2000,4.5,12.1,3.7,6.6,34.4,37,417.6851501,205.3500214,52.02,0.482401429,1.639,86.94158076
4/23/2000,0.5,6.6,-0.5,2.8,34.7,36.9,419.7155762,202.3237457,46.5,0.47051,71.158,32.64604811
4/24/2000,-3.7,6.1,-3.7,1.2,35,37.3,421.771698,278.5176697,48.07,0.42673,69.749,0
4/25/2000,0.6,3.4,-5.6,-1.1,35.1,37.4,423.8874207,294.8110962,57.96,0.38295,68.34,0
4/26/2000,5.8,11.6,0.6,6.7,35.1,37.4,426.0748291,312.0639954,66.45,0.33917,66.931,9.965635739
4/27/2000,6.3,13.1,2.3,7.7,35.1,37.5,428.24646,322.9533691,83.27,0.39867,61.175,7.560137457
4/28/2000,10,17.5,6.3,11.8,35.1,36.5,430.3347168,251.762207,97.94,0.33608,62.808,0
4/29/2000,-2.1,14.3,-2.1,7.8,35.1,35.4,432.4598694,256.2662964,88.71,0.425,45.911,0
4/30/2000,-3.2,2.9,-4.4,-1.4,35.1,34.9,434.5663757,327.8544312,97.97,0.34634,54.261,0
5/1/2000,4.4,8.9,-4.2,3,35.1,34.2,436.6051941,351.9853821,84.82,0.33711,55.179,0
5/2/2000,8.2,14.5,4.1,9.2,35.1,33.1,438.5654602,336.691864,106.68,0.366546,42.52325,100
5/3/2000,7.4,14.8,6.9,10.4,35.1,31.7,440.4369202,343.0112305,122.24,0.395982,29.8675,100
5/4/2000,11,17.7,6.7,12.2,35.1,30.3,442.2168884,341.163269,144.75,0.425418,17.21175,100
5/5/2000,9.5,18.4,6.6,12,35.1,28.8,443.9918213,247.9792633,163.84,0.454854,4.556,90.72164948
5/6/2000,3.5,12.9,0.4,6.6,35.1,27.6,445.7156067,286.3391418,157.4,0.48429,76.898,69.75945017
5/7/2000,6.5,9.8,1.5,6.9,35.1,26.2,447.4007263,182.3675232,139.51,0.486683333,67.15433333,93.12714777
5/8/2000,0.6,7.3,-0.2,2.8,35.6,26.7,449.0430603,219.308197,141.18,0.489076667,57.41066667,100
5/9/2000,0.1,5.1,-1.7,0.7,35.8,26.9,450.5979919,251.4825745,120.19,0.49147,47.667,80.41237113
5/10/2000,1.8,10.2,-1.3,3.5,36,27.1,452.0898743,232.7217865,114.79,0.42734,37.0755,100
5/11/2000,-6.4,8.6,-6.4,1.8,36.3,27.1,453.4750061,253.6542664,108.82,0.36321,26.484,68.04123711
5/12/2000,-7.7,0.1,-8.6,-5.8,37,27.6,454.9224548,325.0959473,97.77,0.419105,63.242,100
5/13/2000,-2.6,3.2,-8.2,-3.1,37.1,27.6,456.3996277,326.7184753,92.18,0.475,100,98.62542955
